title, status, barcode, oversell
Cryptocoryne Willisi, DRAFT,P177, CONTINUE,
Homalomena Sp Sekadau South UNS Tissue Culture, DRAFT,L977, CONTINUE,
Echinodorus Ozelot Green, DRAFT,B142, CONTINUE,P163, CONTINUE,
Micro Sword/ Lilaeopsis Novaezelandiae UNS Tissue Culture, DRAFT,LC978, CONTINUE,
Lilaeopsis Novaezelandiae/ Micro Sword, DRAFT,P103, CONTINUE,
Eusteralis Stellata, ACTIVE,P082, CONTINUE,B064, CONTINUE,
Heteranthera Zosterifolia, ACTIVE,B070, CONTINUE,P089, CONTINUE,
Eleocharis Parvulus Mini - Dwarf Hair Grass UNS Tissue Culture, DRAFT,LC325, CONTINUE,
Anubias Barteri UNS Tissue Culture, DRAFT,LC971, CONTINUE,
Cryptocoryne Ferruginea Sekadauensis Tissue Culture, DRAFT,LC601, CONTINUE,
Anubias Barteri Petite Round on Lava Stone, DRAFT,L680, CONTINUE,
Anubias Nana Ovalis, ACTIVE,P019A, CONTINUE,
Echinodorus Ascherianus, DRAFT,P059, CONTINUE,
Echinodorus Ozelot Red, DRAFT,P148, CONTINUE,B127, DENY,
Echinodorus Paul Kloecker, DRAFT,P661, CONTINUE,
Lobelia Cardinalis Gigantea, DRAFT,P591, CONTINUE,
Java Fern on Driftwood - Large, DRAFT,L202, CONTINUE,
Java Fern on Driftwood - Medium, DRAFT,L166, CONTINUE,
Java Fern on Driftwood - Small, DRAFT,L222, CONTINUE,
Java Fern on Nano Wood, DRAFT,L227, CONTINUE,
Java Fern Narrow Decor, DRAFT,L223, CONTINUE,
Java Fern Windelov on Driftwood - Large, DRAFT,L243, CONTINUE,
Java Fern Windelov on Driftwood - Medium, DRAFT,L215, CONTINUE,
Java Fern Windelov on Driftwood - Small, DRAFT,L208, CONTINUE,
Sagittaria Pusillus, DRAFT,P131, CONTINUE,B109, DENY,
Rotala Vietnam, ACTIVE,B927, CONTINUE,P927, CONTINUE,
Utricularia Graminifolia UNS Tissue Culture - Small Cup, DRAFT,LS219, CONTINUE,
Bucephalandra Brownie Phoenix Tissue Culture - Small Cup, ACTIVE,LS409, CONTINUE,
Rotala Colorata Tissue Culture, ACTIVE,LC627, CONTINUE,
